history_key,state,next_word
stairBBYBBdynelBYBBG,N/A,loyal
stairBBYBBdynelBYBBGloyalGGGGG,GGGGG,OKAY
stairBBYBBdynelYBBBB,N/A,madam
stairBBYBBdynelYBBBBmadamGGGGG,GGGGG,OKAY
stairBBYBBdynelBYBYB,N/A,maybe
stairBBYBBdynelBYBYBmaybeGGGGG,GGGGG,OKAY
stairBBYBBdynelYBBYG,N/A,medal
stairBBYBBdynelYBBYGmedalGGGGG,GGGGG,OKAY
stairBBYBBdynelYBBBG,N/A,modal
stairBBYBBdynelYBBBGmodalGGGGG,GGGGG,OKAY
stairBBYBBdynelBBYBG,N/A,naval
stairBBYBBdynelBBYBGnavalGGGGG,GGGGG,OKAY
stairBBYBBdynelYBYBB,N/A,nomad
stairBBYBBdynelYBYBBnomadGGGGG,GGGGG,OKAY
stairBBYBBdynelBBGGG,N/A,panel
stairBBYBBdynelBBGGGpanelGGGGG,GGGGG,OKAY
stairBBYBBdynelBBGYG,N/A,penal
stairBBYBBdynelBBGYGpenalGGGGG,GGGGG,OKAY
stairBYYBBcloneBBYBB,N/A,today
stairBYYBBcloneBBYBBtodayGGGGG,GGGGG,OKAY
stairBYYBBcloneBBGBB,N/A,about
stairBYYBBcloneBBGBBaboutGGGGG,GGGGG,OKAY
stairBYYBBcloneYBBBG,N/A,acute
stairBYYBBcloneYBBBGacuteGGGGG,GGGGG,OKAY
stairBYYBBcloneBBBBY,N/A,tweak
stairBYYBBcloneBBBBYtweakGGGGG,GGGGG,OKAY
stairBYYBBcloneBYBBB,N/A,fault
stairBYYBBcloneBYBBBfaultGGGGG,GGGGG,OKAY
stairBYYBBcloneBBBGY,N/A,agent
stairBYYBBcloneBBBGYagentGGGGG,GGGGG,OKAY
stairBYYBBcloneBGYBB,N/A,allot
stairBYYBBcloneBGYBBallotGGGGG,GGGGG,OKAY
stairBYYBBcloneBGGBB,N/A,aloft
stairBYYBBcloneBGGBBaloftGGGGG,GGGGG,OKAY
stairBYYBBcloneBBBYB,N/A,aunty
stairBYYBBcloneBBBYBauntyGGGGG,GGGGG,OKAY
stairBYYBBcloneYBBBB,N/A,batch
stairBYYBBcloneYBBBBbatchGGGGG,GGGGG,OKAY
stairBYYBBcloneBBBBG,N/A,bathe
stairBYYBBcloneBBBBGbatheGGGGG,GGGGG,OKAY
stairBYYBBcloneBBYYB,N/A,baton
stairBYYBBcloneBBYYBbatonGGGGG,GGGGG,OKAY
stairBYYBBcloneBBBBB,N/A,tabby
stairBYYBBcloneBBBBBtabbyGGGGG,GGGGG,OKAY
stairBYYBBcloneBGBBY,N/A,bleat
stairBYYBBcloneBGBBYbleatGGGGG,GGGGG,OKAY
stairBYYBBcloneGBBBY,N/A,cadet
stairBYYBBcloneGBBBYcadetGGGGG,GGGGG,OKAY
stairBYYBBcloneGBBBB,N/A,catch
stairBYYBBcloneGBBBBcatchGGGGG,GGGGG,OKAY
stairBYYBBcloneGGBBY,N/A,cleat
stairBYYBBcloneGGBBYcleatGGGGG,GGGGG,OKAY
stairBYYBBcloneBBBGB,N/A,daunt
stairBYYBBcloneBBBGBdauntGGGGG,GGGGG,OKAY
stairBYYBBcloneBYBBY,N/A,fetal
stairBYYBBcloneBYBBYfetalGGGGG,GGGGG,OKAY
stairBYYBBcloneBBBYY,N/A,eaten
stairBYYBBcloneBBBYYeatenGGGGG,GGGGG,OKAY
stairBYYBBcloneYYBBY,N/A,eclat
stairBYYBBcloneYYBBYeclatGGGGG,GGGGG,OKAY
stairBYYBBcloneYBBBY,N/A,facet
stairBYYBBcloneYBBBYfacetGGGGG,GGGGG,OKAY
stairBYYBBcloneYYBBB,N/A,latch
stairBYYBBcloneYYBBBlatchGGGGG,GGGGG,OKAY
stairBYYBBcloneBYBBG,N/A,lathe
stairBYYBBcloneBYBBGlatheGGGGG,GGGGG,OKAY
stairBYYBBcloneBYBYB,N/A,natal
stairBYYBBcloneBYBYBnatalGGGGG,GGGGG,OKAY
stairBYYBBcloneYYYBB,N/A,octal
stairBYYBBcloneYYYBBoctalGGGGG,GGGGG,OKAY
stairBYYBBcloneBYYYB,N/A,talon
stairBYYBBcloneBYYYBtalonGGGGG,GGGGG,OKAY
stairBYYBBcloneBYYBB,N/A,total
stairBYYBBcloneBYYBBtotalGGGGG,GGGGG,OKAY
stairBBYBGpagleBYBBB,N/A,abhor
stairBBYBGpagleBYBBBabhorGGGGG,GGGGG,OKAY
stairBBYBGpagleBYBBY,N/A,cedar
stairBBYBGpagleBYBBYcedarGGGGG,GGGGG,OKAY
stairBBYBGpagleBYGBY,N/A,anger
stairBBYBGpagleBYGBYangerGGGGG,GGGGG,OKAY
stairBBYBGpagleBYGBB,N/A,augur
stairBBYBGpagleBYGBBaugurGGGGG,GGGGG,OKAY
stairBBYBGpagleBGBBY,N/A,baker
stairBBYBGpagleBGBBYbakerGGGGG,GGGGG,OKAY
stairBBYBGpagleBGBYY,N/A,baler
stairBBYBGpagleBGBYYbalerGGGGG,GGGGG,OKAY
stairBBYBGpagleYGBBY,N/A,caper
stairBBYBGpagleYGBBYcaperGGGGG,GGGGG,OKAY
stairBBYBGpagleBYBYY,N/A,clear
stairBBYBGpagleBYBYYclearGGGGG,GGGGG,OKAY
stairBBYBGpagleBGGBY,N/A,eager
stairBBYBGpagleBGGBYeagerGGGGG,GGGGG,OKAY
stairBBYBGpagleBGBBB,N/A,major
stairBBYBGpagleBGBBBmajorGGGGG,GGGGG,OKAY
stairBBYBGpagleBGYBY,N/A,gamer
stairBBYBGpagleBGYBYgamerGGGGG,GGGGG,OKAY
stairBBYBGpagleBGBYB,N/A,labor
stairBBYBGpagleBGBYBlaborGGGGG,GGGGG,OKAY
stairBBYBGpagleBGGYY,N/A,lager
stairBBYBGpagleBGGYYlagerGGGGG,GGGGG,OKAY
stairBBYBGpagleBYBYB,N/A,lunar
stairBBYBGpagleBYBYBlunarGGGGG,GGGGG,OKAY
stairBBYBGpagleGGBYY,N/A,paler
stairBBYBGpagleGGBYYpalerGGGGG,GGGGG,OKAY
stairBBYBGpagleGGBBY,N/A,paper
stairBBYBGpagleGGBBYpaperGGGGG,GGGGG,OKAY
stairBBYBGpagleGYBYB,N/A,polar
stairBBYBGpagleGYBYBpolarGGGGG,GGGGG,OKAY
stairBBYBGpagleYGBBB,N/A,vapor
stairBBYBGpagleYGBBBvaporGGGGG,GGGGG,OKAY
stairBBYYBagileGBGBG,N/A,abide
stairBBYYBagileGBGBGabideGGGGG,GGGGG,OKAY
stairBBYYBagileGGGBB,N/A,aging
stairBBYYBagileGGGBBagingGGGGG,GGGGG,OKAY
stairBBYYBagileGBGYB,N/A,alibi
stairBBYYBagileGBGYBalibiGGGGG,GGGGG,OKAY
stairBBYYBagileGBGYY,N/A,alien
stairBBYYBagileGBGYYalienGGGGG,GGGGG,OKAY
stairBBYYBagileGYGYB,N/A,align
stairBBYYBagileGYGYBalignGGGGG,GGGGG,OKAY
stairBBYYBagileGBGYG,N/A,alike
stairBBYYBagileGBGYGalikeGGGGG,GGGGG,OKAY
stairBBYYBagileGYGBB,N/A,aping
stairBBYYBagileGYGBBapingGGGGG,GGGGG,OKAY
stairBBYYBagileGBGBB,N/A,avian
stairBBYYBagileGBGBBavianGGGGG,GGGGG,OKAY
stairBBYYBagileYBGBB,N/A,china
stairBBYYBagileYBGBBchinaGGGGG,GGGGG,OKAY
stairBBYYBagileYBGGB,N/A,daily
stairBBYYBagileYBGGBdailyGGGGG,GGGGG,OKAY
stairBBYYBagileYBYYB,N/A,final
stairBBYYBagileYBYYBfinalGGGGG,GGGGG,OKAY
stairBBYYBagileYYGGB,N/A,gaily
