current_progress,state,next_word
aesirBBBBBbludyYBGYBdoubtGGGGG,GGGGG,OKAY
aesirBBBBBbludyYYBBG,YYBBG,aband
aesirBBBBBbludyYYBBGabandBYBBB,BYBBB,lobby
aesirBBBBBbludyYYBBGabandBYBBBlobbyGGGGG,GGGGG,OKAY
aesirBBBBBbludyYYBBGabandBYBYB,BYBYB,nobly
aesirBBBBBbludyYYBBGabandBYBYBnoblyGGGGG,GGGGG,OKAY
aesirBBBBBbludyYGGBB,YGGBB,plumb
aesirBBBBBbludyYGGBBplumbGGGGG,GGGGG,OKAY
aesirBBBBBbludyGBBBB,GBBBB,aarti
aesirBBBBBbludyGBBBBaartiBBBBB,BBBBB,bongo
aesirBBBBBbludyGBBBBaartiBBBBBbongoGGGGG,GGGGG,OKAY
aesirBBBBBbludyGBBBBaartiBBBYB,BBBYB,botch
aesirBBBBBbludyGBBBBaartiBBBYBbotchGGGGG,GGGGG,OKAY
aesirBBBBBbludyGBBBBaartiBBBGB,BBBGB,booth
aesirBBBBBbludyGBBBBaartiBBBGBboothGGGGG,GGGGG,OKAY
aesirBBBBBbludyGBBBG,GBBBG,abbot
aesirBBBBBbludyGBBBGabbotBYBYB,BYBYB,boozy
aesirBBBBBbludyGBBBGabbotBYBYBboozyGGGGG,GGGGG,OKAY
aesirBBBBBbludyGBBBGabbotBYBYY,BYBYY,booty
aesirBBBBBbludyGBBBGabbotBYBYYbootyGGGGG,GGGGG,OKAY
aesirBBBBBbludyGBBBGabbotBYYYB,BYYYB,booby
aesirBBBBBbludyGBBBGabbotBYYYBboobyGGGGG,GGGGG,OKAY
aesirBBBBBbludyGBBBGabbotBYGYB,BYGYB,bobby
aesirBBBBBbludyGBBBGabbotBYGYBbobbyGGGGG,GGGGG,OKAY
aesirBBBBBbludyGBYBB,GBYBB,abbot
aesirBBBBBbludyGBYBBabbotBYBBB,BYBBB,bunch
aesirBBBBBbludyGBYBBabbotBYBBBbunchGGGGG,GGGGG,OKAY
aesirBBBBBbludyGBYBBabbotBYBBY,BYBBY,butch
aesirBBBBBbludyGBYBBabbotBYBBYbutchGGGGG,GGGGG,OKAY
aesirBBBBBbludyGBYBBabbotBYBGB,BYBGB,buxom
aesirBBBBBbludyGBYBBabbotBYBGBbuxomGGGGG,GGGGG,OKAY
aesirBBBBBbludyGBYBG,GBYBG,aargh
aesirBBBBBbludyGBYBGaarghBBBBB,BBBBB,bunny
aesirBBBBBbludyGBYBGaarghBBBBBbunnyGGGGG,GGGGG,OKAY
aesirBBBBBbludyGBYBGaarghBBBGB,BBBGB,buggy
aesirBBBBBbludyGBYBGaarghBBBGBbuggyGGGGG,GGGGG,OKAY
aesirBBBBBbludyGBYGG,GBYGG,buddy
